,Training,avg,testing
0,14727.66496924457,4716.048335332796,11961.501642641579
1,14346.750865339107,4754.4844521083,9984.14932614267
2,14247.040769337247,5065.849248396436,12368.909626117573
3,15955.839961692647,5676.638858699814,10862.839439659416
4,12950.211704266298,5563.413126479065,11350.895285441042
5,17060.9349028734,4784.824610790851,12373.67222939765
6,14900.598570592803,6015.433249768236,11026.624377009723
7,11967.026820279125,3296.225206476181,8236.737536512852
8,13805.28258263727,5176.12789869578,10859.102737467863
9,15105.095104525228,6143.467968477702,10964.800042647006
10,15586.428373639113,6267.5367718222,9765.048485614767
11,15958.074880990484,6726.74239268751,9401.68931867729
12,16275.326811591036,5706.152944506665,9655.33614411466
13,17049.84766761202,6648.229145989604,12354.221248360336
14,16521.284363831874,6088.201951670016,10889.517375267864
15,10420.202021245888,4508.44801688676,12483.761755452333
16,12426.5038024686,4939.296300033698,9709.509620522262
17,13701.361504623721,4896.7511363381145,8976.108419164919
18,15881.358119711549,6558.678318674811,9183.071924438245
19,11754.07652916504,3649.19347037066,10662.953144655354
20,20426.200901664954,7880.236007459157,11510.907843489433
21,14492.282217131842,4479.359498747492,9369.97839120938
22,12343.954317412245,4489.90547557716,10000.0
23,13261.615205755857,5167.632271406312,9938.923781406938
24,16633.624292159264,5438.052205561737,10926.680076732686
25,14824.581090189393,5851.318746227776,10578.429476886675
26,12211.754008935213,4627.724007783521,11755.357769275188
27,15461.597772142233,6278.433952256483,10467.784184450406
28,10694.68511014259,3595.703819992547,10221.772055822017
29,13018.15692528032,4478.589433915623,8147.837190776838
30,13831.795584627196,4700.138001984256,11566.946466466701
31,18038.950296550312,6932.993606314148,10611.830788983498
32,19142.43699219988,5739.510795795242,11681.424079688442
33,15903.086011951953,4761.592754298976,8828.07587603592
34,17088.827923094934,7104.785132104717,11252.002142273403
35,11298.188528361992,4047.3011283108376,10000.0
36,15960.928939937818,7020.300373678894,10500.311675670222
37,10000.0,2926.1592221723536,10000.0
38,12898.165818842472,4032.386135834159,9676.650988054429
39,16278.40443358698,4791.332470097288,12723.973230879146
40,16999.6562290181,6479.307144815072,10582.40326897378
41,18881.20952920048,6051.768856731669,10613.988653926139
42,19703.136239177093,3814.840048610021,10630.01232501321
43,14433.14805647029,4850.079444925243,11056.996198127854
44,11779.433789539025,4999.3030608021,11293.806170992335
