Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,565.000000,566.900024,560.000000,563.349976,559.749756,11634
2019-04-16,564.000000,566.450012,553.200012,559.400024,555.824951,16844
2019-04-18,564.000000,564.000000,540.000000,541.750000,538.287720,25567
2019-04-22,553.000000,553.000000,526.150024,532.400024,528.997559,18226
2019-04-23,540.000000,544.000000,533.099976,535.799988,532.375793,8772
2019-04-24,537.099976,550.000000,536.150024,540.150024,536.697998,27585
2019-04-25,538.099976,538.799988,531.000000,537.000000,533.568115,152178
2019-04-26,538.950012,555.099976,530.000000,531.349976,527.954224,38133
2019-04-30,531.549988,548.000000,520.000000,544.150024,540.672485,23528
2019-05-02,549.000000,553.950012,527.200012,533.599976,530.189819,17860
2019-05-03,538.000000,541.799988,532.000000,533.650024,530.239563,4284
2019-05-06,533.000000,536.000000,526.049988,528.900024,525.519897,13749
2019-05-07,530.250000,539.700012,527.700012,533.349976,529.941406,4229
2019-05-08,532.000000,543.700012,528.000000,539.299988,535.853394,12323
2019-05-09,535.400024,547.000000,531.450012,544.950012,541.467346,14023
2019-05-10,545.000000,547.700012,535.000000,541.400024,537.940063,7036
2019-05-13,533.799988,543.549988,530.099976,539.500000,536.052185,7019
2019-05-14,535.000000,545.099976,528.150024,534.500000,531.084106,10743
2019-05-15,534.000000,537.250000,526.000000,528.500000,525.122437,4978
2019-05-16,528.500000,531.900024,522.900024,524.250000,520.899597,5621
2019-05-17,524.000000,526.450012,519.000000,522.349976,519.011719,6265
2019-05-20,524.799988,533.750000,521.000000,523.599976,520.253723,10849
2019-05-21,529.900024,529.900024,519.049988,521.549988,518.216858,4983
2019-05-22,521.000000,525.000000,518.349976,522.950012,519.607910,7054
2019-05-23,526.049988,526.049988,512.799988,515.049988,511.758423,8381
2019-05-24,514.150024,515.250000,506.100006,510.250000,506.989105,8863
2019-05-27,515.000000,530.299988,510.049988,524.799988,521.446106,19901
2019-05-28,482.000000,534.000000,482.000000,530.500000,527.109680,73585
2019-05-29,525.650024,536.349976,522.000000,523.500000,520.154358,11358
2019-05-30,520.000000,522.900024,510.000000,515.900024,512.603027,16724
2019-05-31,521.000000,535.000000,516.000000,528.849976,525.470154,13368
2019-06-03,531.500000,535.650024,522.000000,532.950012,529.544006,5325
2019-06-04,532.000000,558.900024,524.000000,546.950012,543.454529,14222
2019-06-06,547.000000,555.000000,526.099976,535.299988,533.097351,27755
2019-06-07,525.049988,558.000000,525.000000,542.849976,540.616211,9182
2019-06-10,547.000000,547.000000,537.750000,543.500000,541.263611,8478
2019-06-11,545.000000,545.900024,537.200012,541.200012,538.973083,4565
2019-06-12,538.000000,546.450012,535.000000,544.750000,542.508423,5739
2019-06-13,545.000000,545.000000,535.950012,539.799988,537.578796,6081
2019-06-14,538.000000,538.000000,527.500000,533.750000,531.553711,309089
2019-06-17,538.000000,538.000000,514.400024,516.799988,514.673462,8700
2019-06-18,521.950012,523.799988,512.200012,515.650024,513.528198,4830
2019-06-19,516.799988,519.099976,507.750000,509.500000,507.403503,5098
2019-06-20,510.000000,536.200012,503.000000,532.000000,529.810913,6453
2019-06-21,529.599976,576.049988,528.400024,538.599976,536.383728,21866
2019-06-24,520.299988,548.000000,520.299988,546.299988,544.052063,7884
2019-06-25,537.299988,545.000000,533.349976,534.299988,532.101501,7521
2019-06-26,534.900024,542.950012,527.750000,536.000000,533.794434,13230
2019-06-27,538.150024,540.000000,530.000000,533.599976,531.404297,3977
2019-06-28,533.599976,539.849976,531.400024,534.299988,532.101501,3412
2019-07-01,532.000000,538.500000,531.750000,536.599976,534.391968,1789
2019-07-02,536.000000,540.500000,533.000000,539.400024,537.180481,3478
2019-07-03,538.000000,538.650024,534.099976,536.599976,534.391968,4021
2019-07-04,535.000000,538.400024,532.000000,532.400024,530.209351,3963
2019-07-05,532.549988,538.200012,521.000000,532.650024,530.458252,1587123
2019-07-08,532.599976,537.650024,518.750000,522.450012,520.300232,12578
2019-07-09,521.450012,540.000000,521.049988,533.599976,531.404297,734464
2019-07-10,540.000000,540.000000,528.200012,532.599976,530.408447,4071
2019-07-11,533.349976,535.000000,523.700012,529.650024,527.470642,3382
2019-07-12,530.599976,532.000000,527.349976,528.099976,525.926941,2581
2019-07-15,528.000000,539.700012,523.049988,526.250000,524.084595,7026
2019-07-16,525.500000,528.200012,518.400024,520.049988,517.910095,11402
2019-07-17,526.150024,528.200012,512.000000,517.500000,515.370605,2025
2019-07-18,519.000000,519.250000,497.000000,506.399994,504.316254,10433
2019-07-19,516.000000,519.900024,492.000000,504.149994,502.075531,5647
2019-07-22,505.000000,505.299988,499.600006,503.049988,500.980042,5591
2019-07-23,505.000000,509.000000,504.000000,506.250000,504.166870,1482
2019-07-24,506.000000,507.799988,501.000000,504.950012,502.872253,2992
2019-07-25,508.950012,511.000000,506.299988,510.250000,508.150421,5655
2019-07-26,508.200012,521.250000,508.200012,518.349976,516.217102,15867
2019-07-29,520.000000,525.000000,515.000000,519.750000,517.611389,3527
2019-07-30,520.049988,529.849976,520.000000,521.599976,519.453674,3867
2019-07-31,516.250000,518.700012,510.500000,515.650024,513.528198,3028
2019-08-01,518.049988,518.150024,506.000000,511.149994,509.046692,3646
2019-08-02,505.600006,536.000000,504.049988,527.150024,524.980896,9347
2019-08-05,525.000000,537.950012,511.950012,533.700012,531.503906,6212
2019-08-06,532.000000,561.150024,529.750000,549.549988,547.288696,9312
2019-08-07,550.049988,556.000000,537.599976,549.349976,547.089539,7229
2019-08-08,565.000000,565.000000,541.000000,552.650024,550.375977,4514
2019-08-09,550.799988,557.000000,529.700012,551.849976,549.579224,19487
2019-08-13,545.000000,551.900024,536.000000,547.750000,545.496094,7436
2019-08-14,548.000000,552.400024,541.000000,550.599976,548.334351,6484
2019-08-16,546.049988,549.000000,537.500000,544.500000,542.259521,6399
2019-08-19,549.000000,551.650024,540.500000,544.599976,542.359070,1618
2019-08-20,550.000000,553.099976,543.049988,548.150024,545.894470,5695
2019-08-21,552.450012,553.000000,538.500000,539.900024,537.678406,1574
2019-08-22,534.000000,545.700012,531.000000,542.799988,541.820923,2374
2019-08-23,535.000000,555.250000,529.000000,546.049988,545.065063,4095
2019-08-26,550.000000,560.900024,534.750000,546.400024,545.414429,9048
2019-08-27,546.000000,553.700012,538.000000,544.400024,543.418030,6336
2019-08-28,541.000000,543.549988,532.000000,538.200012,537.229248,5768
2019-08-29,538.700012,544.700012,534.349976,540.700012,539.724731,3138
2019-08-30,559.000000,559.000000,539.849976,541.099976,540.123962,911614
2019-09-03,543.049988,545.500000,538.599976,542.799988,541.820923,901321
2019-09-04,540.000000,543.950012,540.000000,541.750000,540.772827,993
2019-09-05,550.500000,567.000000,545.000000,557.200012,556.194946,10112
2019-09-06,558.000000,566.000000,557.000000,564.700012,563.681458,6803
2019-09-09,568.000000,586.650024,566.099976,582.299988,581.249634,11690
2019-09-11,589.900024,592.200012,575.000000,579.299988,578.255066,8791
2019-09-12,579.400024,580.200012,560.000000,564.049988,563.032593,8009
2019-09-13,563.000000,571.349976,551.549988,568.400024,567.374756,3113
2019-09-16,568.000000,574.000000,558.000000,565.000000,563.980896,7273
2019-09-17,562.000000,571.400024,560.799988,564.599976,563.581604,2077
2019-09-18,570.200012,571.000000,564.049988,566.400024,565.378357,1148
2019-09-19,567.000000,570.000000,555.450012,559.799988,558.790222,1127
2019-09-20,558.049988,570.750000,558.049988,564.950012,563.930969,3641
2019-09-23,569.099976,609.349976,566.099976,571.599976,570.568970,26210
2019-09-24,571.650024,597.000000,569.000000,585.650024,584.593628,9588
2019-09-25,591.000000,596.750000,584.000000,589.299988,588.237061,7208
2019-09-26,590.000000,605.250000,585.000000,603.700012,602.611084,7476
2019-09-27,597.450012,607.200012,593.750000,600.950012,599.866028,9319
2019-09-30,602.000000,607.450012,572.299988,581.200012,580.151672,3034
2019-10-01,585.900024,598.150024,568.000000,574.450012,573.413818,5914
2019-10-03,573.299988,574.950012,562.000000,565.200012,564.180542,2870
2019-10-04,575.450012,576.099976,555.200012,559.049988,558.041626,2653
2019-10-07,563.000000,570.000000,555.000000,558.000000,556.993530,2238
2019-10-09,561.150024,561.849976,549.750000,552.799988,551.802856,7114
2019-10-10,555.000000,555.000000,545.349976,550.250000,549.257507,2480
2019-10-11,553.349976,562.650024,552.299988,559.750000,558.740356,1602
2019-10-14,557.000000,570.750000,535.000000,562.099976,561.086060,4959
2019-10-15,561.799988,567.000000,538.750000,563.900024,562.882874,7535
2019-10-16,567.049988,570.450012,562.599976,564.000000,562.982666,1039
2019-10-17,569.000000,577.099976,565.150024,571.500000,570.469177,2806
2019-10-18,576.000000,580.000000,554.099976,566.500000,565.478149,6383
2019-10-22,573.450012,591.099976,565.000000,576.150024,575.110779,5683
2019-10-23,578.549988,580.650024,567.000000,575.250000,574.212402,2560
2019-10-24,576.250000,586.900024,575.049988,584.000000,582.946594,2697
2019-10-25,584.000000,588.500000,573.950012,575.400024,574.362122,1802
2019-10-27,null,null,null,null,null,null
2019-10-29,579.599976,597.000000,577.299988,586.500000,585.442078,2791
2019-10-30,591.150024,605.549988,587.349976,593.700012,592.629150,4917
2019-10-31,594.000000,595.799988,585.500000,588.750000,587.688049,3226
2019-11-01,595.000000,595.099976,581.099976,585.799988,584.743347,3344
2019-11-04,null,null,null,null,null,null
2019-11-05,593.250000,597.450012,584.099976,585.500000,584.443909,2745
2019-11-06,587.049988,591.200012,577.250000,580.000000,578.953796,2286
2019-11-07,585.349976,585.349976,575.200012,581.150024,580.101746,5989
2019-11-08,578.000000,580.650024,573.650024,577.650024,576.608093,1263
2019-11-11,578.549988,585.849976,573.000000,580.450012,579.403015,2733
2019-11-13,570.000000,570.000000,541.500000,560.200012,559.189575,21798
2019-11-14,561.049988,563.650024,542.000000,559.400024,558.390991,7830
2019-11-15,562.799988,567.049988,562.000000,564.799988,563.781250,1367
2019-11-18,565.000000,574.000000,552.000000,557.900024,556.893738,4263
2019-11-19,550.000000,560.150024,547.000000,549.349976,548.359070,2348
2019-11-20,555.450012,557.250000,551.049988,554.400024,553.400024,1605
2019-11-21,556.500000,572.500000,553.650024,555.450012,555.450012,4495
2019-11-22,557.549988,561.650024,551.000000,555.849976,555.849976,2362
