,Entries,ticker,signal,Date
0,"AKZOINDIA.NS2020-11-19 00:00:00 2093.14990234375  Yes, buy it",AKZOINDIA.NS,Buy,2020-11-19
1,"AVANTIFEED.NS2020-11-20 00:00:00 497.29998779296875  Yes, buy it",AVANTIFEED.NS,Buy,2020-11-20
2,"INFRATEL.NS2020-11-20 00:00:00 219.0500030517578  Yes, buy it",INFRATEL.NS,Buy,2020-11-20
3,"CCL.NS2020-11-19 00:00:00 252.64999389648438  Yes, buy it",CCL.NS,Buy,2020-11-19
4,"DCMSHRIRAM.NS2020-11-20 00:00:00 353.75  Yes, buy it",DCMSHRIRAM.NS,Buy,2020-11-20
5,LALPATHLAB.NS 2020-11-19 00:00:00 2124.699951171875  Sell it,LALPATHLAB.NS,Sell,2020-11-19
6,"EDELWEISS.NS2020-11-19 00:00:00 60.900001525878906  Yes, buy it",EDELWEISS.NS,Buy,2020-11-19
7,"FINCABLES.NS2020-11-19 00:00:00 286.8999938964844  Yes, buy it",FINCABLES.NS,Buy,2020-11-19
8,GLENMARK.NS 2020-11-19 00:00:00 482.70001220703125  Sell it,GLENMARK.NS,Sell,2020-11-19
9,"GODFRYPHLP.NS2020-11-20 00:00:00 927.6500244140625  Yes, buy it",GODFRYPHLP.NS,Buy,2020-11-20
10,"GODREJCP.NS2020-11-20 00:00:00 699.0  Yes, buy it",GODREJCP.NS,Buy,2020-11-20
11,"GRAPHITE.NS2020-11-19 00:00:00 211.3000030517578  Yes, buy it",GRAPHITE.NS,Buy,2020-11-19
12,"GUJALKALI.NS2020-11-20 00:00:00 320.3500061035156  Yes, buy it",GUJALKALI.NS,Buy,2020-11-20
13,"GSFC.NS2020-11-20 00:00:00 66.75  Yes, buy it",GSFC.NS,Buy,2020-11-20
14,"GSPL.NS2020-11-20 00:00:00 198.5  Yes, buy it",GSPL.NS,Buy,2020-11-20
15,HIMATSEIDE.NS 2020-11-19 00:00:00 118.0999984741211  Sell it,HIMATSEIDE.NS,Sell,2020-11-19
16,ISEC.NS 2020-11-20 00:00:00 439.70001220703125  Sell it,ISEC.NS,Sell,2020-11-20
17,"JMFINANCIL.NS2020-11-19 00:00:00 78.44999694824219  Yes, buy it",JMFINANCIL.NS,Buy,2020-11-19
18,JMFINANCIL.NS 2020-11-20 00:00:00 76.9000015258789  Sell it,JMFINANCIL.NS,Sell,2020-11-20
19,"KPITTECH.NS2020-11-20 00:00:00 104.19999694824219  Yes, buy it",KPITTECH.NS,Buy,2020-11-20
20,"KIRLOSENG.NS2020-11-19 00:00:00 108.30000305175781  Yes, buy it",KIRLOSENG.NS,Buy,2020-11-19
21,LTTS.NS 2020-11-19 00:00:00 1670.0  Sell it,LTTS.NS,Sell,2020-11-19
22,"MARUTI.NS2020-11-20 00:00:00 6965.85009765625  Yes, buy it",MARUTI.NS,Buy,2020-11-20
23,"NATCOPHARM.NS2020-11-20 00:00:00 912.2999877929688  Yes, buy it",NATCOPHARM.NS,Buy,2020-11-20
24,"NESCO.NS2020-11-19 00:00:00 538.75  Yes, buy it",NESCO.NS,Buy,2020-11-19
25,"NIITTECH.NS2020-11-20 00:00:00 2355.0  Yes, buy it",NIITTECH.NS,Buy,2020-11-20
26,"PNCINFRA.NS2020-11-19 00:00:00 172.1999969482422  Yes, buy it",PNCINFRA.NS,Buy,2020-11-19
27,"QUESS.NS2020-11-20 00:00:00 464.70001220703125  Yes, buy it",QUESS.NS,Buy,2020-11-20
28,"SADBHAV.NS2020-11-19 00:00:00 50.29999923706055  Yes, buy it",SADBHAV.NS,Buy,2020-11-19
29,"TV18BRDCST.NS2020-11-19 00:00:00 31.0  Yes, buy it",TV18BRDCST.NS,Buy,2020-11-19
30,TCS.NS 2020-11-19 00:00:00 2636.89990234375  Sell it,TCS.NS,Sell,2020-11-19
31,"TRIDENT.NS2020-11-20 00:00:00 8.100000381469727  Yes, buy it",TRIDENT.NS,Buy,2020-11-20
32,"VAKRANGEE.NS2020-11-20 00:00:00 30.0  Yes, buy it",VAKRANGEE.NS,Buy,2020-11-20
33,ZEEL.NS 2020-11-20 00:00:00 185.5  Sell it,ZEEL.NS,Sell,2020-11-20
