Date,Open,High,Low,Close,Adj Close,Volume
2016-11-07,863.000000,902.950012,860.049988,890.599976,870.000793,6425114
2016-11-08,893.549988,990.000000,893.000000,978.349976,955.721191,2267885
2016-11-09,850.000000,949.000000,813.549988,922.299988,900.967590,953506
2016-11-10,950.000000,974.849976,906.799988,931.599976,910.052551,598862
2016-11-11,918.900024,947.950012,909.000000,926.700012,905.265869,289523
2016-11-15,928.000000,930.000000,800.000000,809.650024,790.923218,313966
2016-11-16,850.000000,864.849976,789.250000,794.000000,775.635132,425308
2016-11-17,798.099976,816.000000,796.950012,808.349976,789.653198,166942
2016-11-18,813.000000,824.950012,803.099976,811.000000,792.242004,134248
2016-11-21,816.900024,817.000000,794.299988,800.000000,781.496399,103818
2016-11-22,804.799988,816.099976,796.099976,806.150024,787.504150,62764
2016-11-23,814.750000,829.950012,797.000000,822.049988,803.036377,105739
2016-11-24,819.000000,821.950012,807.650024,811.250000,792.486145,41992
2016-11-25,815.799988,885.700012,811.000000,864.700012,844.699890,242693
2016-11-28,869.000000,869.000000,842.150024,847.650024,828.044250,72227
2016-11-29,855.000000,901.000000,851.400024,893.750000,873.077942,228497
2016-11-30,899.000000,922.700012,897.099976,903.650024,882.749023,155401
2016-12-01,907.000000,919.900024,899.049988,902.500000,881.625549,84686
2016-12-02,895.000000,912.400024,889.250000,903.849976,882.944336,66354
2016-12-05,898.000000,906.650024,847.500000,854.599976,834.833435,630431
2016-12-06,856.000000,873.000000,856.000000,865.250000,845.237122,370969
2016-12-07,874.799988,876.799988,851.549988,856.650024,836.836060,82636
2016-12-08,865.000000,895.000000,862.349976,886.900024,866.386414,121166
2016-12-09,883.000000,895.900024,869.000000,872.349976,852.172913,48770
2016-12-12,868.000000,872.500000,847.500000,852.250000,832.537842,31703
2016-12-13,862.000000,869.000000,850.000000,853.549988,833.807739,25480
2016-12-14,858.950012,863.750000,848.700012,850.549988,830.877136,17130
2016-12-15,851.000000,860.000000,850.000000,855.299988,835.517273,32011
2016-12-16,860.000000,869.799988,854.000000,866.500000,846.458252,49682
2016-12-19,866.900024,882.799988,857.000000,866.900024,846.849060,31026
2016-12-20,865.700012,878.500000,851.049988,856.000000,836.201111,25281
2016-12-21,850.049988,883.099976,838.000000,873.900024,853.687134,57766
2016-12-22,872.150024,876.849976,839.000000,841.450012,821.987671,21209
2016-12-23,844.000000,853.049988,831.000000,836.500000,817.152161,37410
2016-12-26,835.849976,840.299988,805.799988,809.250000,790.532410,23550
2016-12-27,816.049988,836.000000,815.000000,830.700012,811.486328,30986
2016-12-28,835.900024,841.799988,823.500000,824.650024,805.576233,16587
2016-12-29,827.750000,832.849976,825.000000,827.200012,808.067261,9696
2016-12-30,832.650024,856.000000,832.000000,839.750000,820.326965,30869
2017-01-02,848.000000,852.650024,826.000000,830.250000,811.046692,38639
2017-01-03,831.000000,840.549988,828.200012,831.049988,811.828186,14717
2017-01-04,835.700012,839.650024,815.099976,817.349976,798.445068,19674
2017-01-05,823.500000,836.000000,818.400024,820.799988,801.815247,25527
2017-01-06,825.400024,825.900024,810.950012,812.299988,793.511902,18314
2017-01-09,815.849976,821.849976,812.049988,814.000000,795.172546,11412
2017-01-10,824.799988,824.799988,809.099976,810.650024,791.900085,10027
2017-01-11,813.099976,827.000000,811.150024,814.150024,795.319092,42765
2017-01-12,815.250000,820.000000,809.000000,811.200012,792.437317,17887
2017-01-13,814.849976,821.000000,806.000000,808.049988,789.360107,18948
2017-01-16,809.000000,811.400024,799.750000,802.799988,784.231628,35730
2017-01-17,806.599976,834.799988,802.650024,827.799988,808.653381,81589
2017-01-18,833.000000,837.400024,824.950012,828.599976,809.434875,52146
2017-01-19,828.599976,838.000000,824.799988,830.900024,811.681641,18567
2017-01-20,835.799988,840.000000,827.400024,828.750000,809.581421,21370
2017-01-23,829.000000,833.500000,827.000000,829.200012,810.021057,9429
2017-01-24,829.000000,868.200012,829.000000,858.450012,838.594421,72908
2017-01-25,875.000000,947.849976,872.299988,937.400024,915.718384,293190
2017-01-27,935.000000,945.000000,922.400024,924.650024,903.263306,54524
2017-01-30,922.500000,926.299988,908.000000,910.299988,889.245178,15281
2017-01-31,909.799988,944.450012,889.200012,904.599976,883.677063,46676
2017-02-01,897.349976,926.000000,897.349976,913.700012,892.566528,32144
2017-02-02,917.000000,932.400024,916.000000,924.650024,903.263306,26891
