,Training,avg,testing
0,14727.66496924457,4718.772025025893,11961.501642641579
1,14346.750865339107,5255.227673529793,9984.14932614267
2,14247.040769337247,5207.514167645565,12368.909626117573
3,15955.839961692647,6374.545286143266,10862.839439659416
4,12950.211704266298,5346.86078737297,11350.895285441042
5,17060.9349028734,4997.12567615608,12373.67222939765
6,14900.598570592803,5875.38807469872,11026.624377009723
7,11967.026820279125,3353.179731408031,8236.737536512852
8,13805.28258263727,5268.8469273581,10859.102737467863
9,15105.095104525228,5736.308686546621,10964.800042647006
10,15586.428373639113,6246.814447015286,9765.048485614767
11,15958.074880990484,6578.527720130232,9401.68931867729
12,16275.326811591036,6235.842073169515,9655.33614411466
13,17049.84766761202,6722.457346694951,12354.221248360336
14,16521.284363831874,6537.901029725338,10889.517375267864
15,10420.202021245888,4275.250668663444,12483.761755452333
16,12426.5038024686,4763.344487168424,9709.509620522262
17,13701.361504623721,5175.746608580328,8976.108419164919
18,15881.358119711549,6441.735398019128,9183.071924438245
19,11754.07652916504,4011.5141199604855,10662.953144655354
20,20030.215041897223,7172.890007103763,11570.162514556845
21,14492.282217131842,4988.273951985353,9369.97839120938
22,10000.0,3733.9286834680943,10000.0
23,13261.615205755857,5450.082939337399,9938.923781406938
24,16633.624292159264,5815.13779543489,10926.680076732686
25,14824.581090189393,6316.074718994154,10578.429476886675
26,12211.754008935213,4629.638382960121,11755.357769275188
27,15461.597772142233,6470.453352705659,10467.784184450406
28,10694.68511014259,3577.7709902278475,10221.772055822017
29,13018.15692528032,4265.940889589853,8147.837190776838
30,13831.795584627196,4957.896899289831,11566.946466466701
31,17523.740440122572,6549.502382104791,10938.588499247959
32,19142.43699219988,6290.825280312544,11681.424079688442
33,15903.086011951953,4917.135712382268,8828.07587603592
34,17088.827923094934,6915.255304218244,11252.002142273403
35,11298.188528361992,4414.049677540228,10000.0
36,15960.928939937818,7150.557173161893,10500.311675670222
37,10000.0,2989.92757919027,10000.0
38,12898.165818842472,4097.12821416713,9676.650988054429
39,16278.40443358698,5471.109072159564,12723.973230879146
40,15683.259601638405,5752.953752915308,10507.194141542754
41,18331.843930960764,5051.068869624367,10610.239590466386
42,19703.136239177093,4164.862872086447,10630.01232501321
43,14433.14805647029,4751.79830079383,11056.996198127854
44,11779.433789539025,5024.520499175146,11293.806170992335
