,Training,avg,testing
0,19095.366594216754,6358.8366214020125,10269.093246488064
1,13486.377265759382,5294.766685698001,7937.734808699608
2,16080.802509038982,6382.388873407319,10793.310199050316
3,18255.642312299566,7391.963236672408,10277.00345607561
4,17884.482677305004,5799.032880446082,11210.240829310229
5,18607.42014773802,6237.807452750346,9390.694732579324
6,18331.189694760425,5983.69071425227,10171.93607434518
7,12173.330184364486,3908.5526764661627,9756.57670706842
8,14981.804004569498,6150.9035253136335,10368.111192397133
9,23257.131598475124,7627.382966404693,7927.840676579645
10,14359.947859529464,5950.695791126235,10353.441190979433
11,14271.280562966982,5477.827982111015,10571.44145362568
12,18583.857008138883,5966.123040979397,12363.682992631793
13,20789.92570894112,7646.999240869615,12427.737046650484
14,14007.35811707682,5745.438725779068,8972.772636091282
15,20646.46506241655,4649.937113177735,12758.886638786113
16,15215.897136082393,5347.977221973812,10851.13113464171
17,13714.07843220673,4892.057744476382,8217.181790590388
18,13888.171435841825,5494.395246433275,6943.989801307968
19,13417.285311836273,4996.065807827608,5412.987198230258
20,28944.79646836508,9352.721534034239,10733.112763394607
21,17624.370141202748,5694.134141714459,4373.4690032141825
22,18366.446659499445,5597.524220006196,8867.662096547727
23,17733.46877927703,5868.180285448257,11837.77054995227
24,16025.38491096422,6376.092926859604,12077.775238834025
25,13219.836085986772,5636.5181926517635,11592.009528594957
26,13770.869226791074,5522.599104608176,9279.195638692097
27,14698.41503546802,6425.440456181392,10926.30371618439
28,14679.452477958701,4209.84366576847,8962.9976196774
29,15482.170383268634,5804.218364489464,9811.57901421738
30,13822.281934651335,5223.749078739684,10220.36792901563
31,18678.63173836283,7044.028213810556,8895.0555364712
32,17063.272621600336,5671.436544844898,11129.120606144505
33,17407.673871588868,3915.5234526224,10294.294597600705
34,15560.95944275647,5812.0447763317325,9810.863168433407
35,13236.064687799932,5378.972681573506,11688.084195078925
36,16716.307146888328,5983.996457514981,10697.46219588814
37,10362.516204482676,3530.7923179883774,14603.917327172043
38,14135.653623197406,5215.41527308315,11814.41387008686
39,12809.293633174926,5232.835375561083,8506.201397692159
40,20667.7886462326,6446.0059713687715,11888.105071863167
41,19125.69522268022,7173.024234064146,8172.321315436482
42,18303.963219960868,4895.680615253941,10158.119100487716
43,14619.904380285181,5814.3248455897465,8845.276600680209
44,11009.65925315044,4344.131028945089,8169.922235826076
