,Training,avg,testing
0,19095.366594216754,6504.6950937219335,10269.093246488064
1,13486.377265759382,5198.2732826142865,7937.734808699608
2,16080.802509038982,6120.994500598633,10793.310199050316
3,18255.642312299566,7276.732202685502,10277.00345607561
4,17884.482677305004,5559.983638640654,11210.240829310229
5,18607.42014773802,6188.023287774438,9390.694732579324
6,18331.189694760425,5821.136744542013,10171.93607434518
7,12173.330184364486,3883.693687344928,9756.57670706842
8,16683.94227928957,6499.429603868024,11318.66938651342
9,23257.131598475124,7570.220694266416,7927.840676579645
10,14359.947859529464,5965.428297056628,10353.441190979433
11,14271.280562966982,5599.818885224106,10571.44145362568
12,18583.857008138883,6139.3214452842485,12363.682992631793
13,20789.92570894112,7691.168508948579,12427.737046650484
14,14007.35811707682,5804.926475524665,8972.772636091282
15,20646.46506241655,4610.33572309355,12758.886638786113
16,15215.897136082393,5322.797224972518,10851.13113464171
17,13714.07843220673,4998.356223764574,8217.181790590388
18,13888.171435841825,5440.51821843202,6943.989801307968
19,13417.285311836273,5172.971572373432,5412.987198230258
20,28944.79646836508,9308.557666761522,10733.112763394607
21,17624.370141202748,5782.918340623516,4373.4690032141825
22,18366.446659499445,5321.974482502373,8867.662096547727
23,17733.46877927703,5689.344240170193,11837.77054995227
24,16025.38491096422,6263.43792328445,12077.775238834025
25,13524.054347518217,5788.477788415025,11081.121108362648
26,13770.869226791074,5572.0223984025,9279.195638692097
27,14698.41503546802,6478.265415024358,10926.30371618439
28,14679.452477958701,4101.873748092649,8962.9976196774
29,15482.170383268634,5690.37909566522,9811.57901421738
30,13822.281934651335,5435.647985650734,10220.36792901563
31,18678.63173836283,6765.286091878288,8895.0555364712
32,17063.272621600336,5586.245787801782,11129.120606144505
33,17407.673871588868,3855.6809412680113,10294.294597600705
34,15560.95944275647,5740.95258822786,9810.863168433407
35,13236.064687799932,5481.188757103259,11688.084195078925
36,16716.307146888328,5971.547629046014,10697.46219588814
37,10362.516204482676,3627.5420169103973,14603.917327172043
38,14135.653623197406,5270.604640231539,11814.41387008686
39,12809.293633174926,5396.820011695162,8506.201397692159
40,20667.7886462326,6407.575909610052,11888.105071863167
41,19125.69522268022,6897.010686264322,8172.321315436482
42,18303.963219960868,4747.292633245658,10158.119100487716
43,14619.904380285181,5652.108184627256,8845.276600680209
44,11009.65925315044,4325.5599001689,8169.922235826076
